Uniprot_ID	prediction	Category
A0A1B0GTU1	1.0	Swiss-Prot
P51003	1.0	Swiss-Prot
Q9BXA9	1.0	Swiss-Prot
Q96JE9	1.0	Swiss-Prot
O94880	1.0	Swiss-Prot
O00268	1.0	Swiss-Prot
Q6ZW31	1.0	Swiss-Prot
Q9HCJ0	1.0	Swiss-Prot
O75038	1.0	Swiss-Prot
Q9Y446	1.0	Swiss-Prot
Q9UMS6	1.0	Swiss-Prot
O14994	1.0	Swiss-Prot
Q96FS4	1.0	Swiss-Prot
Q6ZS17	1.0	Swiss-Prot
P78563	1.0	Swiss-Prot
Q7Z739	1.0	Swiss-Prot
Q569K4	1.0	Swiss-Prot
Q68D10	1.0	Swiss-Prot
O60336	1.0	Swiss-Prot
A3KN83	1.0	Swiss-Prot
Q15427	1.0	Swiss-Prot
Q9UPS6	1.0	Swiss-Prot
Q7Z5L9	1.0	Swiss-Prot
O15240	1.0	Swiss-Prot
Q92541	1.0	Swiss-Prot
Q8N9B5	1.0	Swiss-Prot
Q9UMD9	1.0	Swiss-Prot
Q9ULJ6	1.0	Swiss-Prot
Q4VCS5	1.0	Swiss-Prot
Q96T25	1.0	Swiss-Prot
Q9H792	1.0	Swiss-Prot
A6NJT0	1.0	Swiss-Prot
Q9H6Z4	1.0	Swiss-Prot
Q9H4Z2	1.0	Swiss-Prot
O15156	1.0	Swiss-Prot
Q9Y4K1	1.0	Swiss-Prot
Q9H4I2	1.0	Swiss-Prot
Q2QGD7	1.0	Swiss-Prot
Q9Y2W2	1.0	Swiss-Prot
Q9Y6F6	1.0	Swiss-Prot
Q7Z3K6	1.0	Swiss-Prot
Q9UMN6	1.0	Swiss-Prot
O43390	1.0	Swiss-Prot
Q86Y26	1.0	Swiss-Prot
O60504	1.0	Swiss-Prot
O14686	1.0	Swiss-Prot
Q70EL1	1.0	Swiss-Prot
P56645	1.0	Swiss-Prot
O75864	1.0	Swiss-Prot
Q8TF68	1.0	Swiss-Prot
Q9C0B5	1.0	Swiss-Prot
Q8NEZ4	1.0	Swiss-Prot
Q9H5H4	1.0	Swiss-Prot
Q9ULD9	1.0	Swiss-Prot
I3L273	1.0	Swiss-Prot
P35527	1.0	Swiss-Prot
Q2M329	1.0	Swiss-Prot
Q99583	1.0	Swiss-Prot
O60293	1.0	Swiss-Prot
Q16643	1.0	Swiss-Prot
Q8IZP0	1.0	Swiss-Prot
Q13233	1.0	Swiss-Prot
Q15596	1.0	Swiss-Prot
Q96HR8	1.0	Swiss-Prot
O00401	1.0	Swiss-Prot
Q5JSH3	1.0	Swiss-Prot
Q7Z5P9	1.0	Swiss-Prot
Q9ULH7	1.0	Swiss-Prot
Q8IVL0	1.0	Swiss-Prot
Q8WYB5	1.0	Swiss-Prot
Q8NDX5	1.0	Swiss-Prot
Q86VM9	1.0	Swiss-Prot
Q9ULI3	1.0	Swiss-Prot
Q92932	1.0	Swiss-Prot
O75334	1.0	Swiss-Prot
Q8N7H5	1.0	Swiss-Prot
P54792	1.0	Swiss-Prot
Q96J92	1.0	Swiss-Prot
A5D8V6	1.0	Swiss-Prot
P55197	1.0	Swiss-Prot
P11171	1.0	Swiss-Prot
Q6ZMI3	1.0	Swiss-Prot
Q8IXZ2	1.0	Swiss-Prot
P42684	1.0	Swiss-Prot
Q5TD94	1.0	Swiss-Prot
Q9C0D6	1.0	Swiss-Prot
Q9Y6Q6	1.0	Swiss-Prot
Q86X29	1.0	Swiss-Prot
Q9UL54	1.0	Swiss-Prot
Q09472	1.0	Swiss-Prot
Q8WUA4	1.0	Swiss-Prot
O75909	1.0	Swiss-Prot
Q9Y2L6	1.0	Swiss-Prot
Q9UQF2	1.0	Swiss-Prot
Q96T58	1.0	Swiss-Prot
O43167	1.0	Swiss-Prot
Q9H1R3	1.0	Swiss-Prot
Q14934	1.0	Swiss-Prot
Q9NZP6	1.0	Swiss-Prot
Q9H987	1.0	Swiss-Prot
Q13136	1.0	Swiss-Prot
Q7Z7G0	1.0	Swiss-Prot
Q9Y2D5	1.0	Swiss-Prot
Q8WWI1	1.0	Swiss-Prot
Q0VAK6	1.0	Swiss-Prot
O95429	1.0	Swiss-Prot
Q5VWX1	1.0	Swiss-Prot
Q8IYD1	1.0	Swiss-Prot
Q6ZV73	1.0	Swiss-Prot
Q6NSJ2	1.0	Swiss-Prot
Q8NHY3	1.0	Swiss-Prot
Q5VZR2	1.0	Swiss-Prot
A5PKW4	1.0	Swiss-Prot
Q68EM7	1.0	Swiss-Prot
Q7Z5H3	1.0	Swiss-Prot
Q8N3D4	1.0	Swiss-Prot
P52756	1.0	Swiss-Prot
Q96EV2	1.0	Swiss-Prot
Q86V15	1.0	Swiss-Prot
Q96PV6	1.0	Swiss-Prot
Q8NE35	1.0	Swiss-Prot
Q8NDV7	1.0	Swiss-Prot
Q8N2S1	1.0	Swiss-Prot
Q9NR48	1.0	Swiss-Prot
Q5VT52	1.0	Swiss-Prot
P78559	1.0	Swiss-Prot
Q8N2Y8	1.0	Swiss-Prot
P11137	1.0	Swiss-Prot
Q5TGY3	1.0	Swiss-Prot
Q10571	1.0	Swiss-Prot
Q7RTP6	1.0	Swiss-Prot
Q14157	1.0	Swiss-Prot
Q8N6Y0	1.0	Swiss-Prot
Q6ZW49	1.0	Swiss-Prot
Q9H165	1.0	Swiss-Prot
Q15154	1.0	Swiss-Prot
Q9Y6V0	1.0	Swiss-Prot
Q9UF83	1.0	Swiss-Prot
P31629	1.0	Swiss-Prot
Q8IZL2	1.0	Swiss-Prot
Q12906	1.0	Swiss-Prot
I6L899	1.0	Swiss-Prot
Q9UMX0	1.0	Swiss-Prot
Q9P2N5	1.0	Swiss-Prot
Q9NRR5	1.0	Swiss-Prot
Q4LE39	1.0	Swiss-Prot
Q9UPX0	1.0	Swiss-Prot
Q6WKZ4	1.0	Swiss-Prot
P51825	1.0	Swiss-Prot
Q9NZ56	1.0	Swiss-Prot
A0A087WX78	1.0	Swiss-Prot
Q9UGU0	1.0	Swiss-Prot
O14529	1.0	Swiss-Prot
Q96JB3	1.0	Swiss-Prot
O75152	1.0	Swiss-Prot
Q969V6	1.0	Swiss-Prot
Q5JRA6	1.0	Swiss-Prot
O60318	1.0	Swiss-Prot
Q86UU5	1.0	Swiss-Prot
Q765P7	1.0	Swiss-Prot
E5RHQ5	1.0	Swiss-Prot
Q5T011	1.0	Swiss-Prot
Q8TEH3	1.0	Swiss-Prot
A6NNL0	1.0	Swiss-Prot
Q9ULI4	1.0	Swiss-Prot
P25940	1.0	Swiss-Prot
O43491	1.0	Swiss-Prot
Q9UKP4	1.0	Swiss-Prot
Q5JWF2	1.0	Swiss-Prot
P08572	1.0	Swiss-Prot
Q6ZVC0	1.0	Swiss-Prot
Q14050	1.0	Swiss-Prot
Q6ZRV2	1.0	Swiss-Prot
O14641	1.0	Swiss-Prot
Q8TF74	1.0	Swiss-Prot
P55199	1.0	Swiss-Prot
Q9C0A6	1.0	Swiss-Prot
P05060	1.0	Swiss-Prot
O94885	1.0	Swiss-Prot
Q8IUC6	1.0	Swiss-Prot
Q6PRD1	1.0	Swiss-Prot
Q9NXV6	1.0	Swiss-Prot
Q6NWY9	1.0	Swiss-Prot
P20823	1.0	Swiss-Prot
O15085	1.0	Swiss-Prot
P78524	1.0	Swiss-Prot
Q96JQ2	1.0	Swiss-Prot
Q8WYR4	1.0	Swiss-Prot
Q96T23	1.0	Swiss-Prot
Q96T92	1.0	Swiss-Prot
Q9BTC0	1.0	Swiss-Prot
Q15032	1.0	Swiss-Prot
A1L390	1.0	Swiss-Prot
P39060	1.0	Swiss-Prot
Q96RY5	1.0	Swiss-Prot
P25686	1.0	Swiss-Prot
Q9UBC0	1.0	Swiss-Prot
Q1KMD3	1.0	Swiss-Prot
P53420	1.0	Swiss-Prot
Q99700	1.0	Swiss-Prot
D6RIA3	1.0	Swiss-Prot
Q8IZ40	1.0	Swiss-Prot
Q07092	1.0	Swiss-Prot
P02461	1.0	Swiss-Prot
P12107	1.0	Swiss-Prot
Q8N137	1.0	Swiss-Prot
Q9C0C6	1.0	Swiss-Prot
Q8TE77	1.0	Swiss-Prot
Q9Y4F5	1.0	Swiss-Prot
Q9UI36	1.0	Swiss-Prot
Q15714	1.0	Swiss-Prot
O43182	1.0	Swiss-Prot
Q9P0K8	1.0	Swiss-Prot
P46379	1.0	Swiss-Prot
Q9UHB7	1.0	Swiss-Prot
C9JLR9	1.0	Swiss-Prot
Q14993	1.0	Swiss-Prot
Q5H9B9	1.0	Swiss-Prot
Q96EP5	1.0	Swiss-Prot
Q13316	1.0	Swiss-Prot
H3BPF8	1.0	Swiss-Prot
P84550	1.0	Swiss-Prot
Q69YU3	1.0	Swiss-Prot
Q2UY09	1.0	Swiss-Prot
O75167	1.0	Swiss-Prot
Q8IZ21	1.0	Swiss-Prot
Q9NYQ7	1.0	Swiss-Prot
Q2TAZ0	1.0	Swiss-Prot
O95810	1.0	Swiss-Prot
A8CG34	1.0	Swiss-Prot
Q8IXK0	1.0	Swiss-Prot
Q86UF2	1.0	Swiss-Prot
Q9ULX6	1.0	Swiss-Prot
Q9H329	1.0	Swiss-Prot
Q12955	1.0	Swiss-Prot
O60721	1.0	Swiss-Prot
Q8N302	1.0	Swiss-Prot
O94989	1.0	Swiss-Prot
Q75VX8	1.0	Swiss-Prot
O14646	1.0	Swiss-Prot
Q5T0Z8	1.0	Swiss-Prot
Q9H3T2	1.0	Swiss-Prot
Q9P281	1.0	Swiss-Prot
P56524	1.0	Swiss-Prot
Q9UQL6	1.0	Swiss-Prot
O95466	1.0	Swiss-Prot
P81877	1.0	Swiss-Prot
Q71H61	1.0	Swiss-Prot
O15516	1.0	Swiss-Prot
Q96A83	1.0	Swiss-Prot
Q5SW79	1.0	Swiss-Prot
P28356	1.0	Swiss-Prot
Q9Y4F4	1.0	Swiss-Prot
Q6ZRI6	1.0	Swiss-Prot
Q9ULV3	1.0	Swiss-Prot
Q96DU7	1.0	Swiss-Prot
Q6ZRS4	1.0	Swiss-Prot
Q6ZRK6	1.0	Swiss-Prot
Q7Z3E2	1.0	Swiss-Prot
Q9UPN6	1.0	Swiss-Prot
Q96KQ7	1.0	Swiss-Prot
P78312	1.0	Swiss-Prot
O95180	1.0	Swiss-Prot
Q9P1V8	1.0	Swiss-Prot
Q9C0F0	1.0	Swiss-Prot
Q8TDM6	1.0	Swiss-Prot
O75122	1.0	Swiss-Prot
Q86Y22	1.0	Swiss-Prot
Q9ULG6	1.0	Swiss-Prot
P12110	1.0	Swiss-Prot
Q08AE8	1.0	Swiss-Prot
Q13033	1.0	Swiss-Prot
Q15642	1.0	Swiss-Prot
Q16637	1.0	Swiss-Prot
P07910	1.0	Swiss-Prot
P02452	1.0	Swiss-Prot
Q15572	1.0	Swiss-Prot
Q13029	1.0	Swiss-Prot
Q9HCS4	1.0	Swiss-Prot
P78424	1.0	Swiss-Prot
Q9H091	1.0	Swiss-Prot
Q2VWA4	1.0	Swiss-Prot
P20265	1.0	Swiss-Prot
Q15569	1.0	Swiss-Prot
Q6ZMY3	1.0	Swiss-Prot
Q8NEN9	1.0	Swiss-Prot
Q96KW2	1.0	Swiss-Prot
Q6DN90	1.0	Swiss-Prot
Q8WXH2	1.0	Swiss-Prot
Q92574	1.0	Swiss-Prot
P38159	1.0	Swiss-Prot
Q86UR5	1.0	Swiss-Prot
Q9UFD9	1.0	Swiss-Prot
Q8WXI9	1.0	Swiss-Prot
Q5JTD0	1.0	Swiss-Prot
Q9UPV9	1.0	Swiss-Prot
Q8TB72	1.0	Swiss-Prot
Q9P227	1.0	Swiss-Prot
Q9H2D6	1.0	Swiss-Prot
Q99490	1.0	Swiss-Prot
O43670	1.0	Swiss-Prot
Q02779	1.0	Swiss-Prot
Q96D71	1.0	Swiss-Prot
Q8NBR6	1.0	Swiss-Prot
A2A288	1.0	Swiss-Prot
Q86YV0	1.0	Swiss-Prot
Q8NFD5	1.0	Swiss-Prot
Q9H3S7	1.0	Swiss-Prot
Q69YQ0	1.0	Swiss-Prot
Q5U651	1.0	Swiss-Prot
Q8IZW8	1.0	Swiss-Prot
Q66K14	1.0	Swiss-Prot
Q9NZ53	1.0	Swiss-Prot
Q76KP1	1.0	Swiss-Prot
Q96BD5	1.0	Swiss-Prot
Q9H7P9	1.0	Swiss-Prot
Q9Y6H5	1.0	Swiss-Prot
A6NHN6	1.0	Swiss-Prot
Q9UBW5	1.0	Swiss-Prot
P15923	1.0	Swiss-Prot
P18887	1.0	Swiss-Prot
Q8IYT8	1.0	Swiss-Prot
O14513	1.0	Swiss-Prot
O75037	1.0	Swiss-Prot
Q15464	1.0	Swiss-Prot
Q5T6F2	1.0	Swiss-Prot
Q15637	1.0	Swiss-Prot
P08047	1.0	Swiss-Prot
Q9C0A1	1.0	Swiss-Prot
Q8IY33	1.0	Swiss-Prot
P30305	1.0	Swiss-Prot
Q8NFW1	1.0	Swiss-Prot
Q9C0C9	1.0	Swiss-Prot
P78337	1.0	Swiss-Prot
Q53TQ3	1.0	Swiss-Prot
Q96RV3	1.0	Swiss-Prot
Q2KHR2	1.0	Swiss-Prot
Q96T37	1.0	Swiss-Prot
Q6ZU65	1.0	Swiss-Prot
Q96S55	1.0	Swiss-Prot
P98175	1.0	Swiss-Prot
Q9H201	1.0	Swiss-Prot
Q14160	1.0	Swiss-Prot
Q2KHR3	1.0	Swiss-Prot
Q99856	1.0	Swiss-Prot
Q9P2R6	1.0	Swiss-Prot
Q6ZSZ5	1.0	Swiss-Prot
P12270	1.0	Swiss-Prot
Q92777	1.0	LLPS+
A4FU28	1.0	Swiss-Prot
Q5VYM1	1.0	Swiss-Prot
Q6F5E8	1.0	Swiss-Prot
Q9NYV4	1.0	Swiss-Prot
P39880	1.0	Swiss-Prot
Q8NEP3	1.0	Swiss-Prot
Q9HBL0	1.0	Swiss-Prot
Q14444	1.0	Swiss-Prot
O75385	1.0	Swiss-Prot
Q8TE49	1.0	Swiss-Prot
P55198	1.0	Swiss-Prot
Q8IVE3	1.0	Swiss-Prot
Q5JU85	1.0	Swiss-Prot
P35568	1.0	Swiss-Prot
P25490	1.0	Swiss-Prot
P18146	1.0	Swiss-Prot
P11161	1.0	Swiss-Prot
O60347	1.0	Swiss-Prot
O43524	1.0	Swiss-Prot
A7E2V4	1.0	Swiss-Prot
Q8WYQ9	1.0	Swiss-Prot
Q9H2G4	1.0	Swiss-Prot
Q9UPY6	1.0	Swiss-Prot
Q15788	1.0	Swiss-Prot
Q9Y4E1	1.0	Swiss-Prot
P0CG23	1.0	Swiss-Prot
Q2TAL5	1.0	Swiss-Prot
Q9ULK2	1.0	Swiss-Prot
Q9P2Y4	1.0	Swiss-Prot
O75376	1.0	Swiss-Prot
Q14162	1.0	Swiss-Prot
P58304	1.0	Swiss-Prot
P53814	1.0	Swiss-Prot
Q5TCY1	1.0	Swiss-Prot
Q5SXM2	1.0	Swiss-Prot
P83369	1.0	Swiss-Prot
Q15554	1.0	Swiss-Prot
O60299	1.0	Swiss-Prot
O95365	1.0	Swiss-Prot
Q5TF58	1.0	Swiss-Prot
Q9H2G2	1.0	Swiss-Prot
Q14515	1.0	Swiss-Prot
Q16630	1.0	Swiss-Prot
P78362	1.0	Swiss-Prot
Q12797	1.0	Swiss-Prot
Q9P2S2	1.0	Swiss-Prot
Q5VTJ3	1.0	Swiss-Prot
Q8IY92	1.0	Swiss-Prot
Q5D862	1.0	Swiss-Prot
Q9P2Q2	1.0	Swiss-Prot
Q14677	1.0	Swiss-Prot
O95049	1.0	Swiss-Prot
Q6NUN9	1.0	Swiss-Prot
Q5VT06	1.0	Swiss-Prot
P08151	1.0	Swiss-Prot
Q96BT3	1.0	Swiss-Prot
Q96GN5	1.0	Swiss-Prot
Q8WY91	1.0	Swiss-Prot
P52746	1.0	Swiss-Prot
Q15007	1.0	Swiss-Prot
O43365	1.0	Swiss-Prot
P30291	1.0	Swiss-Prot
O95409	1.0	Swiss-Prot
Q08397	1.0	Swiss-Prot
Q96JQ0	1.0	Swiss-Prot
Q5EBL2	1.0	Swiss-Prot
O14512	1.0	Swiss-Prot
Q5T481	1.0	Swiss-Prot
O15047	1.0	Swiss-Prot
Q3ZLR7	1.0	Swiss-Prot
Q9UMZ2	1.0	Swiss-Prot
Q6ZNA4	1.0	Swiss-Prot
Q9UQQ2	1.0	Swiss-Prot
B1AK53	1.0	Swiss-Prot
Q6N021	1.0	Swiss-Prot
Q8NFU7	1.0	Swiss-Prot
O15027	1.0	Swiss-Prot
Q96MS0	1.0	Swiss-Prot
Q9NSI8	1.0	Swiss-Prot
Q96NU1	1.0	Swiss-Prot
Q86T82	1.0	Swiss-Prot
Q8IX21	1.0	Swiss-Prot
Q9H6K5	1.0	Swiss-Prot
Q04637	1.0	Swiss-Prot
Q06945	1.0	Swiss-Prot
Q15911	1.0	Swiss-Prot
Q9H7N4	1.0	Swiss-Prot
A6NGB9	1.0	Swiss-Prot
P54253	1.0	Swiss-Prot
Q9NQB0	1.0	Swiss-Prot
Q3T8J9	1.0	Swiss-Prot
Q9C0B9	1.0	Swiss-Prot
Q8IWZ8	1.0	Swiss-Prot
O15021	1.0	Swiss-Prot
A6NC78	1.0	Swiss-Prot
Q86WR7	1.0	Swiss-Prot
A7E2F4	1.0	Swiss-Prot
O43242	1.0	Swiss-Prot
Q9P1Z0	1.0	Swiss-Prot
Q8TF72	1.0	Swiss-Prot
Q6UY14	1.0	Swiss-Prot
Q9Y2V3	1.0	Swiss-Prot
Q9Y215	1.0	Swiss-Prot
Q9BX66	1.0	Swiss-Prot
Q9H992	1.0	Swiss-Prot
P49790	1.0	Swiss-Prot
P35443	1.0	Swiss-Prot
Q3MIN7	1.0	Swiss-Prot
Q9UQ26	1.0	Swiss-Prot
Q5TC82	1.0	Swiss-Prot
Q9Y5V3	1.0	Swiss-Prot
H3BQL2	1.0	Swiss-Prot
Q9Y5B6	1.0	Swiss-Prot
Q9HCE6	1.0	Swiss-Prot
Q96MY7	1.0	Swiss-Prot
Q5VZP5	1.0	Swiss-Prot
Q7Z7F0	1.0	Swiss-Prot
O95948	1.0	Swiss-Prot
Q9ULL5	1.0	Swiss-Prot
Q9Y2K5	1.0	Swiss-Prot
Q9H6E5	1.0	Swiss-Prot
Q9NRA8	1.0	Swiss-Prot
A2RU30	1.0	Swiss-Prot
Q96PN7	1.0	Swiss-Prot
Q5T8A7	1.0	Swiss-Prot
Q07157	1.0	Swiss-Prot
Q9UJT2	1.0	Swiss-Prot
Q8NAF0	1.0	Swiss-Prot
Q70EL4	1.0	Swiss-Prot
Q8IVL1	1.0	Swiss-Prot
Q12815	1.0	Swiss-Prot
Q9BYJ9	1.0	Swiss-Prot
O14776	1.0	Swiss-Prot
P19532	1.0	Swiss-Prot
Q12948	1.0	Swiss-Prot
P23246	1.0	Swiss-Prot
O14559	1.0	Swiss-Prot
Q6UXF1	1.0	Swiss-Prot
Q9H195	1.0	Swiss-Prot
Q8N3V7	1.0	Swiss-Prot
Q6ZMZ0	1.0	Swiss-Prot
Q9Y3Q4	1.0	Swiss-Prot
Q86XZ4	1.0	Swiss-Prot
O14511	1.0	Swiss-Prot
Q96GP6	1.0	Swiss-Prot
Q92804	1.0	Swiss-Prot
A6NK89	1.0	Swiss-Prot
Q92945	1.0	Swiss-Prot
Q9HBB8	1.0	Swiss-Prot
P29400	1.0	Swiss-Prot
Q6ZW33	1.0	Swiss-Prot
P02458	1.0	Swiss-Prot
P78314	1.0	Swiss-Prot
P0C6C1	1.0	Swiss-Prot
Q8ND23	1.0	Swiss-Prot
Q9H3P7	1.0	Swiss-Prot
P13942	1.0	Swiss-Prot
P05997	1.0	Swiss-Prot
P25440	1.0	Swiss-Prot
C9JSJ3	1.0	Swiss-Prot
P78364	1.0	Swiss-Prot
Q96JM3	1.0	Swiss-Prot
Q8WYR1	1.0	Swiss-Prot
Q14526	1.0	Swiss-Prot
Q12766	1.0	Swiss-Prot
O14974	1.0	Swiss-Prot
Q9Y250	1.0	Swiss-Prot
O94827	1.0	Swiss-Prot
Q8WVC0	1.0	Swiss-Prot
P27658	1.0	Swiss-Prot
H3BV12	1.0	Swiss-Prot
A6NCC3	1.0	Swiss-Prot
Q9H5P4	1.0	Swiss-Prot
Q8WWM7	1.0	Swiss-Prot
Q86VQ1	1.0	Swiss-Prot
P23769	1.0	Swiss-Prot
Q9Y2F5	1.0	Swiss-Prot
P15884	1.0	Swiss-Prot
Q13111	1.0	Swiss-Prot
P42568	1.0	Swiss-Prot
Q92793	1.0	Swiss-Prot
Q8N944	1.0	Swiss-Prot
P51816	1.0	Swiss-Prot
Q99941	1.0	Swiss-Prot
O75420	1.0	Swiss-Prot
Q9H972	1.0	Swiss-Prot
Q96S94	1.0	Swiss-Prot
Q14031	1.0	Swiss-Prot
Q7Z5R6	1.0	Swiss-Prot
Q8TC90	1.0	Swiss-Prot
Q8TDY8	1.0	Swiss-Prot
Q96CB8	1.0	Swiss-Prot
P16070	1.0	Swiss-Prot
Q9UIF8	1.0	Swiss-Prot
O75179	1.0	Swiss-Prot
Q00056	1.0	Swiss-Prot
B2RXH8	1.0	Swiss-Prot
Q6KF10	1.0	Swiss-Prot
P02462	1.0	Swiss-Prot
Q5JTC6	1.0	Swiss-Prot
Q8NC74	1.0	Swiss-Prot
O95819	1.0	Swiss-Prot
Q6ZS11	1.0	Swiss-Prot
Q9UKL0	1.0	Swiss-Prot
O75030	1.0	Swiss-Prot
Q9UNF1	1.0	Swiss-Prot
P61129	1.0	Swiss-Prot
Q96PK6	1.0	Swiss-Prot
O43474	1.0	Swiss-Prot
O95104	1.0	Swiss-Prot
Q99729	1.0	Swiss-Prot
Q96S38	1.0	Swiss-Prot
Q3YEC7	1.0	Swiss-Prot
O96013	1.0	Swiss-Prot
P10070	1.0	Swiss-Prot
Q8TBC5	1.0	Swiss-Prot
Q99081	1.0	Swiss-Prot
Q68DC2	1.0	Swiss-Prot
Q92994	1.0	Swiss-Prot
Q5T6C5	1.0	Swiss-Prot
P16989	1.0	Swiss-Prot
Q03111	1.0	Swiss-Prot
O43151	1.0	Swiss-Prot
Q8TC56	1.0	Swiss-Prot
O95793	1.0	Swiss-Prot
Q9NX95	1.0	Swiss-Prot
Q92922	1.0	Swiss-Prot
Q8NEM7	1.0	Swiss-Prot
Q9BR39	1.0	Swiss-Prot
P13645	1.0	Swiss-Prot
Q63ZY3	1.0	Swiss-Prot
P09651	1.0	Swiss-Prot
Q13164	1.0	Swiss-Prot
Q86YZ3	1.0	Swiss-Prot
Q12830	1.0	Swiss-Prot
Q13950	1.0	Swiss-Prot
Q9UIF9	1.0	Swiss-Prot
Q8WXX7	1.0	Swiss-Prot
Q9UBL0	1.0	Swiss-Prot
O14497	1.0	Swiss-Prot
Q9NV58	1.0	Swiss-Prot
Q76L83	1.0	Swiss-Prot
Q99590	1.0	Swiss-Prot
Q9NZM4	1.0	Swiss-Prot
Q9NRR6	1.0	Swiss-Prot
Q6P0Q8	1.0	Swiss-Prot
P20908	1.0	Swiss-Prot
O75175	1.0	Swiss-Prot
Q63HK5	1.0	Swiss-Prot
Q6PJG2	1.0	Swiss-Prot
Q9NVI7	1.0	Swiss-Prot
O43516	1.0	Swiss-Prot
O95644	1.0	Swiss-Prot
Q9BYB0	1.0	Swiss-Prot
O43281	1.0	Swiss-Prot
Q92585	1.0	Swiss-Prot
Q96JK9	1.0	Swiss-Prot
Q14814	1.0	Swiss-Prot
Q9H6A9	1.0	Swiss-Prot
O60307	1.0	Swiss-Prot
Q8TAQ2	1.0	Swiss-Prot
Q86UL8	1.0	Swiss-Prot
Q4KMP7	1.0	Swiss-Prot
Q9H0B6	1.0	Swiss-Prot
A7MCY6	1.0	Swiss-Prot
Q68DV7	1.0	Swiss-Prot
Q96QB1	1.0	Swiss-Prot
Q96E39	1.0	Swiss-Prot
Q9UPP1	1.0	Swiss-Prot
Q9Y2H5	1.0	Swiss-Prot
Q9UEW3	1.0	Swiss-Prot
Q02297	1.0	Swiss-Prot
Q96IZ0	1.0	Swiss-Prot
Q14432	1.0	Swiss-Prot
Q70E73	1.0	Swiss-Prot
P27987	1.0	Swiss-Prot
Q9Y4X4	1.0	Swiss-Prot
Q9H4A3	1.0	Swiss-Prot
Q9Y3S1	1.0	Swiss-Prot
Q5VT03	1.0	Swiss-Prot
Q9HCM3	1.0	Swiss-Prot
Q9BYV6	1.0	Swiss-Prot
Q9NQC1	1.0	Swiss-Prot
Q496Y0	1.0	Swiss-Prot
O95153	1.0	Swiss-Prot
Q92558	1.0	Swiss-Prot
Q86US8	1.0	Swiss-Prot
Q6ZN04	1.0	Swiss-Prot
Q01664	1.0	Swiss-Prot
Q8IYK8	1.0	Swiss-Prot
P04198	1.0	Swiss-Prot
Q9NQC3	1.0	Swiss-Prot
Q86YS3	1.0	Swiss-Prot
Q8TB24	1.0	Swiss-Prot
Q6UUV9	1.0	Swiss-Prot
Q96P44	1.0	Swiss-Prot
Q8IY63	1.0	Swiss-Prot
Q8TEJ3	1.0	Swiss-Prot
Q8N7J2	1.0	Swiss-Prot
Q8IWI9	1.0	Swiss-Prot
Q7Z5J4	1.0	Swiss-Prot
Q969G3	1.0	Swiss-Prot
Q2V2M9	1.0	Swiss-Prot
O95785	1.0	Swiss-Prot
A5PLN7	1.0	Swiss-Prot
Q53SZ7	1.0	Swiss-Prot
Q7Z6J9	1.0	Swiss-Prot
Q9GZT9	1.0	Swiss-Prot
Q9Y2U8	1.0	Swiss-Prot
Q02078	1.0	Swiss-Prot
Q49AM3	1.0	Swiss-Prot
Q8IVF1	1.0	Swiss-Prot
Q8N307	1.0	Swiss-Prot
Q9UJ55	1.0	Swiss-Prot
